	Label	Key	From	To	Last Updated	Frequency	Country	Item	Country.1	Data type	Balance sheet suffix	Long description
0	TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES	SUP.Q.AT.W0._Z.E0000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E0000	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES, All exposures, Closing balance sheet/Positions/Stocks, Euro
1	TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES	SUP.Q.AT.W0._Z.E1000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E1000	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES, All exposures, Closing balance sheet/Positions/Stocks, Euro
2	Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP	SUP.Q.AT.W0._Z.E1100._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E1100	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP, All exposures, Closing balance sheet/Positions/Stocks, Euro
3	Securitisation positions	SUP.Q.AT.W0._Z.E1300._T._Z._Z.ALL.LE.E.C	2020Q1	2022Q3	2023-01-11 10:00:00	Q	AT	E1300	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Securitisation positions, All exposures, Closing balance sheet/Positions/Stocks, Euro
4	Exposures to credit risk - Standardised approach (SA)	SUP.Q.AT.W0._Z.E2000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E2000	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA), All exposures, Closing balance sheet/Positions/Stocks, Euro
5	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions	SUP.Q.AT.W0._Z.E2130._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E2130	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Institutions, All exposures, Closing balance sheet/Positions/Stocks, Euro
6	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates	SUP.Q.AT.W0._Z.E2135._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E2135	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Corporates, All exposures, Closing balance sheet/Positions/Stocks, Euro
7	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail	SUP.Q.AT.W0._Z.E2140._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E2140	ALL	LE	E	 Austria, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
8	Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Secured by mortgages on immovable property	SUP.Q.AT.W0._Z.E2145._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E2145	ALL	LE	E	 Belgium, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
9	Exposures to credit risk - Internal ratings based Approach (IRB)	SUP.Q.AT.W0._Z.E3000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E3000	ALL	LE	E	 Bulgaria, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
10	Exposures to credit risk - IRB approach - corporates (SME, specialised lending and other)	SUP.Q.AT.W0._Z.E324C._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E324C	ALL	LE	E	 Cyprus, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
11	Exposures to credit risk - IRB approach - retail (secured by real estate property SME and non-SME)	SUP.Q.AT.W0._Z.E324E._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E324E	ALL	LE	E	 Germany, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
12	Exposures to credit risk - IRB approach - institutions	SUP.Q.AT.W0._Z.E324I._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E324I	ALL	LE	E	 Estonia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
13	Exposures to credit risk - IRB approach - retail (qualifying revolving, other SME and other non-SME)	SUP.Q.AT.W0._Z.E324Q._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E324Q	ALL	LE	E	 Spain, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
14	TOTAL RISK EXPOSURE AMOUNT FOR SETTLEMENT/DELIVERY	SUP.Q.AT.W0._Z.E4000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E4000	ALL	LE	E	 Finland, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
15	TOTAL RISK EXPOSURE AMOUNT FOR POSITION, FOREIGN EXCHANGE AND COMMODITIES RISKS	SUP.Q.AT.W0._Z.E5000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	E5000	ALL	LE	E	 France, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
16	Number of institutions - Core equity tier 1 ratio (%) <= 10	SUP.Q.AT._Z._Z.D5130._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	D5130	_Z	_Z	Z	 Greece, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
17	Number of institutions - Core equity tier 1 ratio (%) between 10 - 20	SUP.Q.AT._Z._Z.D5170._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	D5170	_Z	_Z	Z	 Croatia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
18	Number of institutions - Core equity tier 1 ratio (%) > 20	SUP.Q.AT._Z._Z.D5180._T._Z._Z._Z._Z.Z.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	AT	D5180	_Z	_Z	Z	 Ireland, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
19	Number of institutions - Leverage ratio (%) <= 3	SUP.Q.AT._Z._Z.D7110._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	AT	D7110	_Z	_Z	Z	 Italy, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
20	Number of institutions - Leverage ratio (%) between 3 - 6	SUP.Q.AT._Z._Z.D7120._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	AT	D7120	_Z	_Z	Z	 Lithuania, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
21	Number of institutions - Leverage ratio (%) > 6	SUP.Q.AT._Z._Z.D7130._T._Z._Z._Z._Z.Z.C	2016Q3	2022Q3	2023-01-11 10:00:00	Q	AT	D7130	_Z	_Z	Z	 Luxembourg, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
22	TOTAL RISK EXPOSURE AMOUNT / TOTAL EXPOSURES	SUP.Q.B01.W0._Z.E0000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E0000	ALL	LE	E	 Latvia, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
23	TOTAL EXPOSURES FOR CREDIT, COUNTERPARTY CREDIT AND DILUTION RISKS AND FREE DELIVERIES	SUP.Q.B01.W0._Z.E1000._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E1000	ALL	LE	E	 Malta, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
24	Exposures to credit risk - Risk exposure amount for contributions to the default fund of a CCP	SUP.Q.B01.W0._Z.E1100._T._Z._Z.ALL.LE.E.C	2015Q2	2022Q3	2023-01-11 10:00:00	Q	B01	E1100	ALL	LE	E	 Portugal, World (all entities, including reference area, including IO), Exposures to credit risk - Standardised approach (SA) - SA exposure classes excluding securitisation positions - Retail, All exposures, Closing balance sheet/Positions/Stocks, Euro
